temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed
27.0,46.9,0.0,0.0,0.0,4.92,20,12.08,320,19.91
30.0,62.1,0.28,0.0,0.0,6.04,240,27.96,240,34.9
45.0,73.0,0.29,0.0,0.0,14.54,230,31.09,240,36.91
30.9,55.0,0.0,0.0,0.0,8.72,250,23.04,220,31.99
35.1,61.0,0.01,0.0,0.0,4.25,240,12.08,240,14.99
21.9,43.0,0.0,0.0,0.0,5.82,260,17.0,260,21.92
39.9,64.9,0.0,0.0,0.0,9.84,270,21.92,270,29.08
44.1,68.0,0.0,0.0,0.0,5.14,280,17.0,260,23.94
28.9,57.9,0.0,0.0,0.0,6.26,220,17.0,210,21.92
51.1,66.0,0.0,0.0,0.0,9.17,110,17.0,90,21.92
48.0,78.1,0.0,0.0,0.0,4.03,170,14.09,170,16.11
54.0,82.0,0.0,0.0,0.0,11.18,170,19.91,180,25.05
55.9,71.1,0.23,0.0,0.0,11.41,40,23.04,30,27.96
51.1,80.1,0.0,0.0,0.0,2.46,90,12.08,120,16.11
60.1,87.1,0.0,0.0,0.0,9.62,220,19.91,230,23.04
55.0,73.0,0.0,0.0,0.0,6.71,40,14.99,30,17.9
44.1,73.9,0.0,0.0,0.0,6.26,230,16.11,220,21.92
57.9,82.9,0.43,0.0,0.0,10.51,230,25.05,220,31.99
48.0,78.1,0.0,0.0,0.0,4.03,230,16.11,280,21.03
52.0,79.0,0.0,0.0,0.0,4.7,70,10.07,100,14.99
64.9,91.0,0.14,0.0,0.0,4.92,350,21.92,330,31.09
75.9,96.1,0.0,0.0,0.0,5.82,220,17.0,230,19.91
73.9,100.0,0.0,0.0,0.0,5.59,230,16.11,220,21.92
69.1,96.1,0.01,0.0,0.0,7.61,200,17.9,170,23.94
66.0,88.0,1.18,0.0,0.0,4.47,50,23.04,50,27.96
64.9,87.1,0.93,0.0,0.0,6.93,200,23.04,200,29.97
71.1,96.1,0.0,0.0,0.0,7.83,220,17.9,220,21.92
69.1,95.0,0.82,0.0,0.0,11.41,230,25.05,230,29.08
69.1,87.1,0.0,0.0,0.0,9.4,230,17.0,220,21.03
70.0,90.0,0.97,0.0,0.0,10.51,300,23.04,300,36.01
68.0,91.0,0.0,0.0,0.0,5.14,180,14.09,160,17.0
64.0,89.1,0.0,0.0,0.0,5.37,50,14.99,100,19.91
70.0,90.0,0.76,0.0,0.0,3.36,150,19.91,130,23.94
72.0,91.9,0.0,0.0,0.0,6.26,230,14.09,220,16.11
75.0,93.0,0.0,0.0,0.0,7.61,230,17.0,240,23.04
61.0,73.9,0.11,0.0,0.0,3.8,130,14.09,130,16.11
64.9,84.9,0.0,0.0,0.0,2.46,170,14.99,130,17.0
64.0,88.0,0.0,0.0,0.0,9.4,90,17.0,110,25.05
70.0,89.1,0.0,0.0,0.0,3.58,120,10.07,140,14.99
64.0,90.0,0.0,0.0,0.0,4.47,170,10.07,180,14.09
72.0,91.0,0.0,0.0,0.0,6.26,240,14.09,230,17.0
73.0,86.0,0.0,0.0,0.0,5.59,220,14.09,360,16.11
60.1,73.9,0.0,0.0,0.0,3.8,30,10.07,50,14.09
53.1,70.0,0.0,0.0,0.0,12.3,40,23.04,20,29.97
63.0,81.0,0.96,0.0,0.0,10.07,30,21.92,30,31.09
64.9,73.0,0.02,0.0,0.0,6.71,50,16.11,40,17.9
60.1,71.1,0.0,0.0,0.0,9.62,40,14.99,50,19.91
48.9,84.9,0.0,0.0,0.0,1.12,230,10.07,230,12.08
55.9,84.9,0.0,0.0,0.0,2.24,220,12.08,240,14.99
35.1,66.9,0.0,0.0,0.0,2.24,220,10.07,220,12.97
44.1,70.0,0.0,0.0,0.0,3.13,230,12.08,,
52.0,68.0,0.0,0.0,0.0,6.93,40,14.99,30,21.03
46.9,80.1,0.0,0.0,0.0,4.03,230,14.99,220,17.9
34.0,61.0,0.0,0.0,0.0,1.79,270,12.08,260,17.0
51.1,75.9,0.62,0.0,0.0,14.54,220,29.97,240,36.01
21.0,46.0,0.0,0.0,0.0,3.13,270,12.97,330,16.11
28.0,55.0,0.19,0.0,0.0,6.04,220,16.11,220,17.9
61.0,70.0,0.07,0.0,0.0,10.51,170,17.9,170,21.92
44.1,57.9,0.0,0.0,0.0,4.47,230,14.09,240,14.99
54.0,71.1,0.0,0.0,0.0,10.74,230,31.99,220,36.91
21.9,44.1,0.0,0.0,0.0,4.7,180,14.99,170,17.0
43.0,57.0,0.9,0.0,0.0,6.04,90,16.11,100,21.03
10.9,36.0,0.0,0.0,0.0,5.82,200,14.09,180,17.9
23.0,35.1,0.19,3.5,2.01,6.71,30,19.91,30,25.95
33.1,46.9,0.0,0.0,0.0,3.58,100,10.07,100,12.97
19.9,55.0,0.0,0.0,0.0,5.82,220,17.0,220,21.92
39.9,66.0,0.0,0.0,0.0,6.04,100,14.09,120,17.9
34.0,54.0,0.0,0.0,0.0,4.7,30,14.09,40,17.9
30.9,46.0,0.0,0.0,0.0,7.38,60,16.11,50,21.03
37.9,57.9,0.72,0.0,0.0,9.62,70,21.03,80,25.05
35.1,37.9,1.38,0.0,0.0,12.75,50,23.04,40,27.96
19.9,50.0,0.0,0.0,0.0,2.91,220,14.09,220,16.11
39.0,44.1,0.73,0.0,0.0,4.92,50,14.09,60,16.11
43.0,62.1,0.0,0.0,0.0,7.38,40,14.99,20,19.91
42.1,48.9,0.01,0.0,0.0,4.7,130,12.97,110,16.11
57.0,68.0,0.62,0.0,0.0,3.36,170,14.09,180,16.11
44.1,82.9,0.0,0.0,0.0,8.5,210,23.04,200,29.97
41.0,51.1,0.0,0.0,0.0,10.07,260,21.92,280,29.97
55.9,73.0,0.12,0.0,0.0,7.61,210,14.99,200,17.0
53.1,73.0,0.0,0.0,0.0,8.5,230,21.03,240,25.05
59.0,79.0,0.36,0.0,0.0,10.29,220,23.94,200,29.08
48.0,68.0,0.07,0.0,0.0,6.49,50,17.0,20,21.03
46.9,75.9,0.0,0.0,0.0,3.36,20,14.09,30,19.91
60.1,82.0,0.0,0.0,0.0,7.16,170,16.11,180,21.92
61.0,84.9,0.0,0.0,0.0,5.59,180,14.99,170,17.9
69.1,82.0,0.69,0.0,0.0,6.49,130,17.0,130,21.92
73.9,96.1,0.0,0.0,0.0,7.61,270,16.11,290,23.94
71.1,93.9,0.0,0.0,0.0,5.59,40,14.99,40,17.9
64.0,95.0,0.0,0.0,0.0,4.92,240,19.91,250,29.08
70.0,82.9,0.12,0.0,0.0,5.14,40,12.08,40,14.09
69.1,87.1,0.0,0.0,0.0,6.93,90,14.09,80,17.9
66.0,84.0,0.0,0.0,0.0,4.7,90,8.05,,
72.0,93.0,0.0,0.0,0.0,5.59,210,14.99,200,21.92
72.0,91.9,0.28,0.0,0.0,10.29,230,31.09,240,40.04
73.9,95.0,0.06,0.0,0.0,8.28,210,23.94,210,34.9
73.9,82.9,0.27,0.0,0.0,8.95,230,16.11,230,21.92
72.0,96.1,0.18,0.0,0.0,5.82,230,17.9,230,23.94
68.0,88.0,0.0,0.0,0.0,3.36,180,14.09,180,14.99
70.0,99.0,0.0,0.0,0.0,7.61,220,23.04,210,34.9
71.1,84.0,0.03,0.0,0.0,2.24,30,12.08,30,19.91
68.0,87.1,0.0,0.0,0.0,3.8,40,12.97,50,16.11
70.0,93.9,0.0,0.0,0.0,4.7,230,12.08,90,14.99
63.0,87.1,0.0,0.0,0.0,6.26,100,19.91,90,27.96
63.0,79.0,0.57,0.0,0.0,7.38,50,17.9,40,21.92
68.0,80.1,0.0,0.0,0.0,8.05,30,17.0,30,23.94
59.0,82.0,0.0,0.0,0.0,4.25,50,12.97,10,21.92
57.0,87.1,0.0,0.0,0.0,2.01,90,12.08,120,16.11
64.9,77.0,0.0,0.0,0.0,2.01,110,10.07,130,14.09
62.1,81.0,0.0,0.0,0.0,5.59,90,14.99,80,21.03
63.0,68.0,0.32,0.0,0.0,6.49,90,14.09,110,17.9
